Restaurants,Name,Address,Type,Popularity,Status,Profit
,Volta Romana Pizzeria,"Via Ardeatina, 164, 00147 Roma RM, Italia",Restaurant,43.0,Lead,
,Pizzeria Remo A Testaccio,"Piazza di S Maria Liberatrice, 44, 00153 Roma RM, Italia",Restaurant,4409.0,Lead,
,Antica pizzeria da Michele Roma EUR,"Via Stoccolma, 11, 00144 Roma RM, Italia",Restaurant,1694.0,Lead,
,Osteria Del Mare,"Borgo dei Cappuccini, 5, 57126 Livorno LI, Italia",Restaurant,1296.0,Lead,
,Ristorante La Trattoria,"Via XXV Aprile, 31, 42013 Casalgrande RE, Italia",Restaurant,2739.0,Lead,
,Pinsitaly Trevi,"Via della Panetteria, 12, 00187 Roma RM, Italia",Restaurant,5046.0,Lead,
,Ristorante Andrea,"00185, Via dei Mille, 39, 00185 Roma RM, Italia",Restaurant,3655.0,Lead,
,Roma Ristorante & Pizzeria Da Mauro Patong,"124, Banana Walk Mall, 1 floor, 11 Thawewong Rd, Pa Tong, Phuket 83150, Thailandia",Restaurant,1508.0,Lead,
,Ristorante Pizza Forum Roma- Forno a Legna,"Via di S. Giovanni in Laterano, 34-38, 00184 Roma RM, Italia",Restaurant,20832.0,Lead,
,180Grammi Pizzeria Romana,"Via Genazzano, 32, 00177 Roma RM, Italia",Restaurant,1868.0,,
